table_schema,table_name,total_size
public,ods_laboratory_test_6,93 MB
public,ods_laboratory_test_7,77 MB
public,ods_patient_person,0 bytes
public,ods_laboratory_result_35,25 MB
public,ods_laboratory_result_36,34 MB
public,ods_laboratory_result_37,67 MB
public,ods_laboratory_result_40,33 MB
public,ods_hiv_art_pharmacy_regimens_5,196 MB
public,ods_laboratory_result_46,94 MB
public,ods_laboratory_result_47,15 MB
public,ods_laboratory_result_49,19 MB
public,ods_laboratory_test_8,221 MB
public,ods_laboratory_result_50,25 MB
public,ods_laboratory_result_52,72 MB
public,ods_laboratory_result_53,97 MB
public,ods_laboratory_result_54,61 MB
public,ods_laboratory_test_25,212 MB
public,ods_laboratory_test_26,25 MB
public,ods_laboratory_test_27,144 MB
public,ods_hiv_art_pharmacy_regimens_14,133 MB
public,ods_hiv_art_pharmacy_40,186 MB
public,ods_hiv_art_pharmacy_regimens_31,74 MB
public,ods_hiv_art_pharmacy_regimens_34,168 MB
public,ods_laboratory_test_48,81 MB
public,ods_base_organisation_unit_14,12 MB
public,ods_base_organisation_unit_18,17 MB
public,ods_triage_vital_sign_11,189 MB
public,ods_base_organisation_unit_23,17 MB
public,ods_prep_interruption,1768 kB
public,ods_base_application_codeset_48,16 MB
public,ods_hiv_art_clinical_4,402 MB
public,ods_hiv_art_clinical_10,433 MB
public,ods_laboratory_result_42,50 MB
public,ods_laboratory_result_48,72 MB
public,ods_laboratory_result_51,74 MB
public,ods_laboratory_result_55,72 MB
public,ods_laboratory_result_56,54 MB
public,ods_laboratory_result_60,41 MB
public,ods_triage_vital_sign_35,104 MB
public,ods_triage_vital_sign_41,44 MB
public,ods_triage_vital_sign_52,247 MB
public,ods_triage_vital_sign_58,213 MB
public,ods_patient_person_58,118 MB
public,ods_base_application_codeset_2,10072 kB
public,ods_base_application_codeset_8,12 MB
public,ods_base_application_codeset_19,18 MB
public,ods_base_application_codeset_25,17 MB
public,ods_triage_vital_sign_1,80 MB
public,ods_triage_vital_sign_2,323 MB
public,ods_triage_vital_sign_15,99 MB
public,ods_triage_vital_sign_16,203 MB
public,ods_triage_vital_sign_17,232 MB
public,ods_triage_vital_sign_18,265 MB
public,ods_triage_vital_sign_19,248 MB
public,ods_triage_vital_sign_20,128 MB
public,ods_triage_vital_sign_21,455 MB
public,ods_triage_vital_sign_22,417 MB
public,ods_triage_vital_sign_23,250 MB
public,ods_triage_vital_sign_24,91 MB
public,ods_triage_vital_sign_25,239 MB
public,ods_triage_vital_sign_26,81 MB
public,ods_triage_vital_sign_27,292 MB
public,ods_triage_vital_sign_31,54 MB
public,ods_triage_vital_sign_32,382 MB
public,ods_triage_vital_sign_33,70 MB
public,ods_triage_vital_sign_34,89 MB
public,ods_triage_vital_sign_36,169 MB
public,ods_triage_vital_sign_37,204 MB
public,ods_triage_vital_sign_38,78 MB
public,ods_triage_vital_sign_39,134 MB
public,ods_triage_vital_sign_43,191 MB
public,ods_triage_vital_sign_44,56 MB
public,ods_triage_vital_sign_45,199 MB
public,ods_triage_vital_sign_46,232 MB
public,ods_triage_vital_sign_48,369 MB
public,ods_triage_vital_sign_49,103 MB
public,ods_triage_vital_sign_50,100 MB
public,ods_hiv_art_clinical_1,148 MB
public,ods_hiv_art_clinical_2,544 MB
public,ods_triage_vital_sign_51,184 MB
public,ods_triage_vital_sign_54,233 MB
public,ods_triage_vital_sign_55,314 MB
public,ods_triage_vital_sign_56,231 MB
